	Chrom	Gene	Strand	Start	End	Positions
941	chr1	TOMM20	-	235109340	235112108	[235109341, 235111582, 235111690, 235111839]
942	chr1	BCL9	+	147623841	147626216	[147626198]
943	chr1	OPN3	-	241593123	241594691	[241593609, 241593189]
944	chr1	OPN3	-	241628850	241636073	[241628860, 241634644]
945	chr1	CPT2	+	53213263	53214197	[53214196, 53213915]
946	chr1	TMEM63A	-	225845535	225847213	[225845536]
947	chr1	ADAM15	+	155062244	155062775	[155062774]
948	chr1	CDK11A	-	1702378	1702999	[1702733]
949	chr1	ZNF436	-	23359447	23363221	[23359991, 23359447]
950	chr1	LRRC8B	+	89592770	89597861	[89593379, 89596545]
951	chr1	GUK1	+	228148664	228148955	[228148944]
952	chr1	DARS2	+	173857517	173858546	[173858440, 173857985, 173857863]
953	chr1	C1orf159	-	1081822	1082987	[1081832]
954	chr1	FAM72D	+	145111502	145112696	[145112679]
955	chr1	SNAPIN	+	153661199	153661852	[153661817]
956	chr1	SH3GLB1	+	86743127	86748184	[86743377, 86744074, 86745897, 86748178, 86743593, 86743869]
957	chr1	TMEM69	+	45693203	45694436	[45694428, 45694137]
958	chr1	GNG5	-	84498324	84501970	[84498325, 84501826]
959	chr1	GLMN	-	92246401	92246646	[92246485]
960	chr1	RASAL2	+	178473074	178478850	[178478832, 178478592, 178474419]
961	chr1	NOTCH2	-	119911552	119916694	[119911667, 119912073, 119912234]
962	chr1	TXNIP	-	145992434	145993886	[145992468, 145993373, 145993552]
963	chr1	FOXJ3	-	42176547	42179825	[42176547, 42179363]
964	chr1	MICOS10	+	19625391	19629820	[19626622]
965	chr1	ARHGEF11	-	156934839	156936058	[156934850]
966	chr1	YY1AP1	-	155659441	155660933	[155659460]
967	chr1	NMNAT1	+	9982300	9985498	[9984757, 9984547]
968	chr1	ISG15	+	1013983	1014540	[1014539]
969	chr1	SLC16A1	-	112911846	112914165	[112912479, 112912563, 112914026, 112912670, 112912244]
970	chr1	GPX7	+	52608261	52609051	[52608851, 52609018]
971	chr1	SRP9	+	225786861	225790464	[225790463, 225790133]
972	chr1	ADAR	-	154582056	154585043	[154582064]
973	chr1	ANGEL2	-	212992181	212995192	[212992183, 212992479]
974	chr1	C1orf122	+	37808977	37809454	[37809448]
975	chr1	SYF2	-	25222275	25223431	[25222682, 25222969]
976	chr1	RPS27	+	153992064	153992155	[153992151]
977	chr1	SDHB	-	17018721	17018958	[17018724]
978	chr1	POLR3GL	+	145978360	145978848	[145978846]
979	chr1	CCSAP	-	229321014	229325411	[229321029, 229324504]
980	chr1	CHI3L2	+	111242226	111243440	[111243438]
981	chr1	MLLT11	+	151067218	151069544	[151068482, 151068318, 151067679]
982	chr1	PPIE	+	39753286	39756769	[39753705, 39753586]
983	chr1	PPIE	+	39762516	39763914	[39763893]
984	chr1	PLK3	+	44805486	44805990	[44805973]
985	chr1	S100A11	-	152032505	152032823	[152032506, 152032633]
986	chr1	SRSF4	-	29147742	29149226	[29147747]
987	chr1	ZBTB8A	+	32600086	32605941	[32605121, 32601049, 32605699, 32605930, 32600754, 32600428]
988	chr1	URB2	+	229659099	229660200	[229659501, 229660193, 229659983]
989	chr1	SOX13	+	204125857	204127743	[204127734]
990	chr1	S100A13	-	153618798	153619038	[153618799]
991	chr1	USP48	-	21678297	21679439	[21678925, 21679287]
992	chr1	CLSTN1	-	9728925	9730705	[9729027, 9729972, 9729282]
993	chr1	UBR4	-	19074509	19074896	[19074512]
994	chr1	CPTP	+	1327240	1328896	[1328895]
995	chr1	SYNC	-	32679905	32681860	[32680377, 32681380, 32680097, 32680269, 32680950]
996	chr1	RCC2	-	17406759	17409194	[17406763, 17407681, 17406928]
997	chr1	DUSP12	+	161756785	161757238	[161757160, 161756927]
998	chr1	AHCYL1	+	110021673	110023742	[110022383, 110023594, 110023725, 110023192]
999	chr1	ZMYM1	+	35112976	35115859	[35115635]
1000	chr1	TMCC2	+	205271812	205273343	[205273265]
1001	chr1	TTC4	+	54741410	54742657	[54742308, 54742090]
1002	chr1	SETDB1	+	150944917	150945320	[150945291]
1003	chr1	SETDB1	+	150964246	150964737	[150964724]
1004	chr1	ZC3H12A	+	37482736	37484377	[37484360]
1005	chr1	BSDC1	-	32364632	32368550	[32368042, 32365169]
1006	chr1	SYT11	+	155881197	155885199	[155885159, 155882281, 155882956, 155884998]
1007	chr1	TMEM50A	+	25360659	25362361	[25362351, 25360993, 25361139, 25362265, 25361317]
1008	chr1	RABGAP1L	+	174957890	174958187	[174958090]
1009	chr1	RABGAP1L	+	174989848	174995308	[174995303]
1010	chr1	KLHL17	+	964962	965719	[965715, 965459]
1011	chr1	POMGNT1	-	46188682	46189357	[46188689]
1012	chr1	ITGA10	-	145891207	145892863	[145891228]
1013	chr1	UCK2	+	165907683	165911618	[165908122, 165911601, 165907945]
1014	chr1	EFNA4-EFNA3	+	155086412	155087538	[155087532]
1015	chr1	ATP1B1	+	169131291	169132719	[169132718, 169132014, 169131750, 169131600, 169132460]
1016	chr1	SLC35D1	-	66999349	67004448	[66999391, 67000348]
1017	chr1	PABPC4	-	39560815	39561787	[39561685, 39560819]
1018	chr1	SERTAD4	+	210241557	210246255	[210243080]
1019	chr1	SMG5	-	156249223	156250670	[156249379, 156249241]
1020	chr1	RALGPS2	+	178916329	178921840	[178921836, 178920097, 178921597]
1021	chr1	TOE1	+	45343081	45343973	[45343955]
1022	chr1	FBXO28	+	224157351	224162047	[224161996]
1023	chr1	CCNL2	-	1385710	1387582	[1386502, 1386671, 1385725]
1024	chr1	CCNL2	-	1392292	1392803	[1392298, 1392501]
1025	chr1	RER1	+	2403034	2405436	[2403293, 2404963, 2403817, 2405348, 2404154]
1026	chr1	NHSL3	+	32772864	32774970	[32774948]
1027	chr1	ERRFI1	-	8011726	8014396	[8012492, 8011730, 8012099, 8012208]
1028	chr1	CEP85	+	26277132	26278808	[26278461, 26278786]
1029	chr1	MPC2	-	167916674	167918359	[167916748, 167918076, 167918299]
1030	chr1	KIF1B	+	10303162	10308597	[10308277, 10308587, 10307036, 10306547, 10303655]
1031	chr1	KIF1B	+	10376544	10381603	[10381602]
1032	chr1	ARHGEF19	-	16197853	16198744	[16198116]
1033	chr1	KCNK2	+	215234827	215237090	[215236235, 215237081]
1034	chr1	PSMB4	+	151401816	151401937	[151401936]
1035	chr1	NBPF19	+	149554494	149556361	[149556249, 149556071]
1036	chr1	TUT4	-	52423274	52424002	[52423380]
1037	chr1	ZBTB41	-	197153681	197160014	[197153683, 197153923, 197155144]
1038	chr1	LYSMD1	-	151159747	151161020	[151159763]
1039	chr1	CD46	+	207790252	207795516	[207795507, 207795207]
1040	chr1	CENPL	-	173799549	173800519	[173799586, 173799713]
1041	chr1	POGZ	-	151402723	151406464	[151402728, 151404238, 151404544, 151402922]
1042	chr1	ISG20L2	-	156721890	156723462	[156721936, 156722311, 156722633, 156723217]
1043	chr1	CRTC2	-	153947674	153948329	[153947675]
1044	chr1	CDK11B	-	1635224	1635856	[1635587]
1045	chr1	ERMAP	+	42842516	42844991	[42844971]
1046	chr1	CDC42BPA	-	226989857	226994399	[226989880, 226992780, 226990001]
1047	chr1	ZNF687	+	151290714	151292176	[151291966]
1048	chr1	FIRRM	+	169851816	169854080	[169853086, 169853270]
1049	chr1	TOMM40L	+	161228955	161230746	[161230602]
1050	chr1	HSD17B7	+	162812297	162812823	[162812680]
1051	chr1	AK5	+	77558601	77559966	[77558779, 77559701]
1052	chr1	CERS2	-	150965185	150966288	[150965186, 150965491, 150965298]
1053	chr1	KDM1A	+	23082449	23083689	[23083644, 23083479, 23083356]
1054	chr1	DYRK3	+	206647387	206655158	[206653702, 206655156, 206653965, 206649193]
1055	chr1	DRAM2	-	111117162	111118267	[111117930, 111117356]
1056	chr1	PLEKHM2	+	15733796	15734769	[15734767, 15734521]
1057	chr1	COP1	-	175944830	175945170	[175944941, 175944836]
1058	chr1	MACO1	+	25498263	25500209	[25498721, 25500166]
1059	chr1	LDLRAD2	+	21822201	21825225	[21822419]
1060	chr1	RSC1A1	+	15659712	15662033	[15662012]
1061	chr1	BLZF1	+	169386996	169396575	[169388298, 169389283, 169387777, 169390098]
1062	chr1	SFT2D2	+	168242500	168253021	[168253020, 168242837, 168252590, 168252706, 168252793, 168251307]
1063	chr1	SNX27	+	151693592	151699080	[151699072, 151694491, 151693978]
1064	chr1	ATP2B4	+	203739545	203744081	[203744080, 203743703, 203743623, 203743422]
1065	chr1	EVA1B	-	36322029	36322725	[36322037]
1066	chr1	RHOU	+	228743284	228746664	[228746648]
1067	chr1	CRYZ	-	74705485	74706457	[74705516, 74705693]
1068	chr1	SZT2	+	43450336	43454247	[43451311, 43451140, 43454225, 43451627]
1069	chr1	EXOSC10	-	11066617	11066748	[11066619, 11066717]
1070	chr1	LRIG2	+	113123874	113132260	[113125147, 113124653, 113132216]
1071	chr1	LRP8	-	53242363	53247056	[53246552, 53245566, 53242371, 53245658, 53245764, 53242638]
1072	chr1	UQCRH	+	46316551	46316776	[46316775]
1073	chr1	MIA3	+	222665308	222668007	[222667997, 222666115, 222665790, 222666488, 222667391]
1074	chr1	DNAH14	+	224967679	224967924	[224967858]
1075	chr1	ZBTB48	+	6588915	6589280	[6589095]
1076	chr1	PPCS	+	42459602	42461236	[42459830, 42460142, 42460385]
1077	chr1	IBA57	+	228175121	228182257	[228177364, 228182099]
1078	chr1	PHC2	-	33323625	33325019	[33323640, 33323809]
1079	chr1	CTTNBP2NL	+	112455930	112461164	[112456283, 112460203, 112459972]
1080	chr1	ZMYM4	+	35419469	35422058	[35420177, 35421322, 35421417, 35421868, 35420019]
1081	chr1	PINK1	+	20650433	20651511	[20651306, 20650662]
1082	chr1	SLC45A3	-	205657850	205659671	[205657859]
1083	chr1	DCAF6	+	168075370	168075836	[168075832, 168075479]
1084	chr1	PTGS2	-	186671790	186674762	[186671841]
1085	chr1	TBCE	+	235448669	235452443	[235448962]
1086	chr1	ATP1A1	+	116404415	116404774	[116404773]
1087	chr1	FLAD1	+	154987465	154989012	[154989004]
1088	chr1	FLAD1	+	154992712	154993111	[154993100]
1089	chr1	TRIM45	-	117111059	117112453	[117111072]
1090	chr1	UBE2Q1	-	154548576	154550469	[154548579, 154549984]
1091	chr1	METTL18	-	169792528	169793897	[169792592]
1092	chr1	PEF1	-	31629865	31630842	[31629885]
1093	chr1	RNF187	+	228493882	228496188	[228494973]
1094	chr1	VANGL1	+	115691118	115698221	[115693683, 115695435, 115691344]
1095	chr1	UBE2T	-	202331656	202331960	[202331660]
1096	chr1	CTH	+	70439100	70439851	[70439543]
1097	chr1	TP73	+	3731462	3736201	[3736093]
1098	chr1	KPNA6	+	32170706	32176563	[32173186, 32175946, 32176554, 32175788, 32176283, 32175630]
1099	chr1	EPRS1	-	219968599	219968956	[219968737, 219968915]
1100	chr1	PRMT6	+	107056673	107059294	[107059280, 107059138, 107058969]
1101	chr1	NDUFS2	+	161213863	161214395	[161214394]
1102	chr1	ASH1L	-	155335267	155337751	[155336074, 155335338, 155335545, 155335795]
1103	chr1	TRNAU1AP	+	28577499	28578545	[28578532, 28577771]
1104	chr1	APH1A	-	150265403	150266656	[150265403]
1105	chr1	MCOLN2	-	84925582	84926721	[84925584]
1106	chr1	VAV3	-	107571160	107573372	[107571248]
1107	chr1	USP24	-	55066358	55069107	[55068561, 55066382, 55067942]
1108	chr1	HDGF	-	156742106	156743455	[156742540, 156742108, 156742632]
1109	chr1	ACBD6	-	180288229	180288517	[180288235]
1110	chr1	C1orf21	+	184619517	184629019	[184620313, 184620140]
1111	chr1	ARL8A	-	202133403	202134516	[202133410]
1112	chr1	MTF2	+	93136669	93139076	[93139069, 93137115, 93138216, 93137302, 93138833]
1113	chr1	HPDL	+	45326894	45328710	[45328530, 45328684]
1114	chr1	SLC41A1	-	205789094	205791718	[205789119]
1115	chr1	TIMM17A	+	201969468	201970664	[201970352, 201970014]
1116	chr1	KIF2C	+	44767096	44767767	[44767734]
1117	chr1	E2F2	-	23506437	23510148	[23506437, 23506634]
1118	chr1	MAPKAPK2	+	206732037	206734281	[206734115, 206734280, 206732985, 206733973]
1119	chr1	MIB2	+	1630291	1630605	[1630601]
1120	chr1	KLHL21	-	6590723	6594110	[6590726]
1121	chr1	KDM4A	+	43704229	43705518	[43704455, 43705471]
1122	chr1	YBX1	+	42700780	42703805	[42702359, 42701046, 42703758]
1123	chr1	DENND4B	-	153929500	153930442	[153929520, 153929638]
1124	chr1	S100A10	-	151982914	151983324	[151982914]
1125	chr1	XPR1	+	180884005	180890279	[180890240, 180886124, 180886312]
1126	chr1	NBPF3	+	21483142	21484900	[21484886]
1127	chr1	CDC42	+	22089942	22090807	[22090681]
1128	chr1	CDC42	+	22091427	22101360	[22091623, 22092942, 22092384]
1129	chr1	ODF2L	-	86346836	86348878	[86348745, 86348133]
1130	chr1	ODF2L	-	86350100	86352208	[86350117]
1131	chr1	GLMP	-	156292687	156293209	[156292691]
1132	chr1	TMCO1	-	165724290	165728121	[165724316, 165727425, 165727022, 165726799, 165727259, 165727735]
1133	chr1	SCNN1D	+	1291253	1292025	[1292013]
1134	chr1	PIGK	-	77088988	77092490	[77088993, 77091706, 77092055, 77090757]
1135	chr1	DHCR24	-	54849626	54852386	[54849679]
1136	chr1	DNAJC11	-	6634169	6635700	[6634170, 6634291]
1137	chr1	AK2	-	33007939	33014594	[33008880, 33013045, 33009929, 33010075]
1138	chr1	PDE4DIP	+	148941798	148949505	[148948458]
1139	chr1	PDE4DIP	+	148981269	148986471	[148981762]
1140	chr1	PDE4DIP	+	149031943	149033016	[149032931]
1141	chr1	NIT1	+	161120498	161121194	[161121183]
1142	chr1	RAB29	-	205767985	205770453	[205769251, 205768128, 205768006, 205769442, 205768547]
1143	chr1	SH2D5	-	20719730	20721995	[20719771]
1144	chr1	CDC7	+	91524040	91525764	[91525497, 91525684]
1145	chr1	XKR8	+	27966502	27968093	[27968092]
1146	chr1	PIAS3	-	145848521	145849712	[145848524, 145848666, 145848825]
1147	chr1	PRKAA2	+	56707474	56715335	[56708144, 56712819, 56713782]
1148	chr1	RHCE	-	25362248	25370540	[25362248]
1149	chr1	CAPZB	-	19338774	19342864	[19339108, 19338799]
1150	chr1	RIMS3	-	40620679	40626729	[40620699, 40626244]
1151	chr1	ANKRD13C	-	70258998	70262847	[70260694, 70260891, 70262233]
1152	chr1	CCN1	+	85582739	85583950	[85583706, 85583930]
1153	chr1	ZBTB18	+	244053494	244057476	[244057473, 244057354, 244057175]
1154	chr1	NUDT17	+	145848376	145848954	[145848665, 145848807, 145848941]
1155	chr1	TDRKH	-	151771567	151774504	[151773492, 151772132]
1156	chr1	MAGI3	+	113682211	113685923	[113685886, 113683677]
1157	chr1	ZFP69	+	40494920	40496343	[40496228]
1158	chr1	GPATCH4	-	156594300	156595849	[156595012, 156594520, 156595597, 156594636, 156595459, 156595753, 156595289]
1159	chr1	MEF2D	-	156463726	156467656	[156466222, 156463773]
1160	chr1	MRTO4	+	19258680	19260128	[19259404, 19259274, 19260098, 19259020]
1161	chr1	FOXD3	+	63322566	63325128	[63325085]
1162	chr1	PRXL2B	+	2589409	2591468	[2591456]
1163	chr1	METTL25B	+	156736631	156736960	[156736951]
1164	chr1	LYST	-	235661030	235663078	[235661057, 235661325, 235662500]
1165	chr1	DISP1	+	223002384	223005995	[223005963]
1166	chr1	SRGAP2C	+	121387633	121392874	[121392698, 121391899]
1167	chr1	CNN3	-	94896956	94898083	[94896965, 94897415]
1168	chr1	CENPF	+	214663590	214664571	[214664567, 214664192]
1169	chr1	PRRC2C	+	171591586	171593511	[171593510]
1170	chr1	HES4	-	998963	999432	[998965]
1171	chr1	PTBP2	+	96813272	96823739	[96814775]
1172	chr1	VASH2	+	212988511	212991585	[212991507]
1173	chr1	LEPR	+	65633151	65635428	[65635412]
1174	chr1	YTHDF2	+	28768928	28769775	[28769136, 28769767, 28769574]
1175	chr1	TMEM183A	+	203022854	203024848	[203024847, 203023251, 203023531, 203024753, 203023415]
1176	chr1	ASAP3	-	23428562	23429930	[23428576]
1177	chr1	CLCN6	+	11840142	11843130	[11843106]
1178	chr1	KMO	+	241591952	241595642	[241593306, 241593808, 241592236]
1179	chr1	PEX11B	-	145911347	145912566	[145911353]
1180	chr1	DHRS3	-	12567909	12568424	[12567926]
1181	chr1	UBE2J2	-	1253911	1255487	[1253930, 1254074, 1254176, 1254903]
1182	chr1	AMPD2	+	109630942	109632055	[109632052]
1183	chr1	AGL	+	99921533	99924023	[99924001, 99921944]
1184	chr1	MACF1	+	39485537	39487138	[39485990, 39486193, 39486971, 39486085]
1185	chr1	TMEM234	-	32216199	32216947	[32216244]
1186	chr1	TRIM11	-	228393675	228395252	[228393676, 228393869]
1187	chr1	DDX20	+	111765736	111768000	[111767451, 111767237]
1188	chr1	GLRX2	-	193096464	193096759	[193096473]
1189	chr1	MED18	+	28334416	28335965	[28335964]
1190	chr1	RPAP2	+	92387010	92402056	[92394652, 92402052, 92391632, 92395637, 92389827, 92388375]
1191	chr1	ASPM	-	197084126	197084426	[197084151, 197084276]
1192	chr1	NOTCH2NLC	+	149464076	149471833	[149471832]
1193	chr1	COX20	+	244842198	244845063	[244843492, 244844774, 244845020, 244843335, 244842312]
1194	chr1	RO60	+	193084578	193091777	[193091776, 193084856, 193085923]
1195	chr1	NBL1	+	19656865	19658452	[19658447, 19658202, 19658104]
1196	chr1	RRP15	+	218330947	218337983	[218331579]
1197	chr1	VAMP3	+	7779625	7781432	[7781431, 7780283, 7781144]
1198	chr1	ORC1	-	52372828	52373375	[52372836, 52373072]
1199	chr1	TGFB2	+	218441203	218444619	[218443967]
1200	chr1	PBXIP1	-	154944079	154945117	[154944079, 154944532, 154944651]
1201	chr1	MIER1	+	66984571	66988619	[66987661, 66987966, 66987542, 66984659]
1202	chr1	SMIM12	-	34850361	34855982	[34855046, 34853577, 34855282, 34852674]
1203	chr1	PSMB2	-	35599540	35603374	[35599573, 35601587, 35603149, 35601805, 35601985]
1204	chr1	NAXE	+	156593881	156594299	[156594294]
1205	chr1	LIN28A	+	26426241	26429728	[26429543, 26429696]
1206	chr1	B4GALT3	-	161171309	161172089	[161171324]
1207	chr1	ETNK2	-	204131061	204134694	[204131066]
1208	chr1	LEPROT	+	65431802	65436007	[65433735, 65432553]
1209	chr1	TMEM35B	-	34981379	34982119	[34981557, 34981738]
1210	chr1	TMED5	-	93149741	93154888	[93150170, 93152008, 93154658, 93151881, 93154287, 93149803]
1211	chr1	TMED5	-	93156257	93156483	[93156310]
1212	chr1	CIART	+	150286429	150287093	[150287064]
1213	chr1	WARS2	-	119031215	119033388	[119032851, 119031271, 119032730]
1214	chr1	ADPRS	+	36093096	36093932	[36093921, 36093610]
1215	chr1	SARS1	+	109237730	109238182	[109238161, 109237946]
1216	chr1	TSEN15	+	184072826	184074212	[184074210]
1217	chr1	TSEN15	+	184095689	184097485	[184095821]
1218	chr1	ARHGAP29	-	94168904	94174749	[94172706, 94172616, 94173158]
1219	chr1	TSTD1	-	161037630	161038075	[161037631, 161037913]
1220	chr1	ATP6V0B	+	43977025	43978295	[43978292, 43977154, 43977216]
1221	chr1	EPS15	-	51354262	51356846	[51354282, 51355232, 51354538, 51354415]
1222	chr1	INTS7	-	211940402	211942111	[211940405, 211941368, 211940710]
1223	chr1	MRPL20	-	1401908	1402601	[1401908]
1224	chr1	GSTM3	-	109733936	109737169	[109737081, 109736671, 109736975]
1225	chr1	TPM3	-	154155307	154159048	[154156359, 154156953, 154156856, 154155310]
1226	chr1	TRIT1	-	39838109	39841913	[39841049, 39841196]
1227	chr1	NBPF20	-	145289899	145291769	[145289980]
1228	chr1	CHML	-	241628850	241636194	[241628860, 241634644]
1229	chr1	GPN2	-	26876131	26879749	[26879392, 26879486, 26876215]
1230	chr1	MRPS14	-	175012957	175014851	[175013981]
1231	chr1	ENO1	-	8860999	8861429	[8861000]
1232	chr1	RUSC1	+	155330402	155331118	[155331106, 155330776]
1233	chr1	TAF5L	-	229593133	229595094	[229593133, 229593223, 229593442]
1234	chr1	TAF5L	-	229599193	229602919	[229599307, 229600062]
1235	chr1	TMEM222	+	27335378	27336400	[27336387]
1236	chr1	TMEM167B	+	109094416	109096934	[109096927]
1237	chr1	RAB13	-	153981649	153982176	[153981656]
1238	chr1	NFYC	+	40770396	40771603	[40771589, 40771100]
1239	chr1	LYPLAL1	+	219211491	219212858	[219212328]
1240	chr1	GPR37L1	+	202127740	202133592	[202133591]
1241	chr1	GPR89A	+	145669833	145670650	[145670452]
1242	chr1	WASF2	-	27404229	27408346	[27404234, 27404866, 27405614]
1243	chr1	SKI	+	2306576	2310213	[2309573, 2308542, 2310144]
1244	chr1	GPATCH3	-	26890487	26891226	[26890494]
1245	chr1	SRGAP2B	-	144887287	144892381	[144888973]
1246	chr1	NDUFS5	+	39034391	39034615	[39034614]
1247	chr1	PEX14	+	10629530	10630758	[10630757]
1248	chr1	SCCPDH	+	246767194	246768137	[246767273, 246767471, 246767830, 246767932, 246768044]
1249	chr1	USP21	+	161165356	161165723	[161165668]
1250	chr1	DCAF8	-	160215719	160217708	[160215719, 160216704]
1251	chr1	PEX10	-	2403973	2405834	[2404811, 2405088, 2403987]
1252	chr1	PMF1	+	156239547	156240042	[156240025]
1253	chr1	DHDDS	+	26468891	26471306	[26471280]
1254	chr1	FAM76A	+	27760494	27763116	[27761969, 27761566, 27763068]
1255	chr1	NCDN	+	35565226	35566779	[35566768]
1256	chr1	BPNT1	-	220057481	220058992	[220057567, 220057851]
1257	chr1	GPR153	-	6247352	6250003	[6247358]
1258	chr1	INTS11	-	1311599	1311924	[1311599]
1259	chr1	PARK7	+	7984893	7985505	[7985295]
1260	chr1	B3GALNT2	-	235447189	235450340	[235447258, 235448677]
1261	chr1	IPO13	+	43967585	43968022	[43967969]
1262	chr1	PPT1	-	40071460	40074183	[40072271, 40071823, 40072702, 40071917, 40072421]
1263	chr1	PI4KB	-	151291796	151293033	[151291796, 151292145, 151292381]
1264	chr1	RGS4	+	163074320	163076802	[163076546]
1265	chr1	C1orf174	-	3889132	3890073	[3889133]
1266	chr1	TCEA3	-	23380908	23381474	[23381371]
1267	chr1	MYCBP	-	38862492	38864714	[38863012, 38863502, 38863620, 38864548]
1268	chr1	OXCT2	-	39769522	39771348	[39769535]
1269	chr1	PANK4	-	2508536	2509060	[2508595]
1270	chr1	PHF13	+	6621410	6624030	[6623996]
1271	chr1	H2BC21	-	149884458	149886682	[149884512]
1272	chr1	SLC19A2	-	169463908	169465977	[169463962]
1273	chr1	ARTN	+	43936301	43937240	[43937238]
1274	chr1	GPR157	-	9100304	9104634	[9100337, 9100422]
1275	chr1	HENMT1	-	108648294	108648991	[108648300, 108648442]
1276	chr1	SRSF11	+	70250607	70253052	[70252017, 70253029, 70250658, 70251606, 70251259]
1277	chr1	USP33	-	77695986	77697931	[77695987, 77696104]
1278	chr1	USP33	-	77711501	77711855	[77711668, 77711775]
1279	chr1	SIPA1L2	-	232397964	232399273	[232397982, 232398706]
1280	chr1	SCAMP3	-	155255980	155256419	[155255996, 155256283]
1281	chr1	FAAP20	-	2184476	2185513	[2184476, 2184994]
1282	chr1	PTGFR	+	78536405	78540701	[78539745, 78540676, 78538650]
1283	chr1	CDC73	+	193250675	193254815	[193253377, 193251421, 193253851, 193254799, 193251173]
1284	chr1	IFI16	+	159054820	159055151	[159055120]
1285	chr1	EXTL2	-	100872390	100874430	[100872643, 100872392, 100873994]
1286	chr1	ZNF281	-	200404950	200409723	[200405595, 200404955, 200406302, 200406719, 200405293, 200408490, 200405677, 200405870, 200406917]
1287	chr1	MFSD14A	+	100082002	100083377	[100083370, 100082724]
1288	chr1	TXLNA	+	32194901	32198285	[32198284, 32197957]
1289	chr1	DAP3	+	155738156	155739010	[155738541, 155738975]
1290	chr1	MUTYH	-	45329241	45329437	[45329273]
1291	chr1	TMEM240	-	1534777	1535507	[1534799]
1292	chr1	PYGO2	-	154957025	154959846	[154957039]
1293	chr1	PPP1R12B	+	202575001	202592702	[202588551, 202584776]
1294	chr1	DNAJC16	+	15567777	15571733	[15571263, 15571728, 15571012, 15568968]
1295	chr1	SMAP2	+	40421975	40423326	[40423286]
1296	chr1	CSDE1	-	114716915	114718216	[114716924, 114717990, 114717253, 114717616]
1297	chr1	NEK2	-	211662771	211663652	[211662801, 211663077, 211663201]
1298	chr1	NUDT4B	+	148748773	148752415	[148750160, 148752157]
1299	chr1	SHC1	-	154962297	154963931	[154962297, 154962833, 154962728]
1300	chr1	IVNS1ABP	-	185296387	185298288	[185297571, 185296391, 185296904, 185297756, 185296599, 185297206, 185298228]
1301	chr1	FHL3	-	37996769	37997559	[37996789]
1302	chr1	MTMR11	-	149928650	149929317	[149928662]
1303	chr1	LRRC8D	+	89933066	89936611	[89936000]
1304	chr1	LIX1L	-	145933422	145936552	[145933539, 145933432]
1305	chr1	ZNF669	-	247099961	247101319	[247100009]
1306	chr1	IGFN1	+	201228385	201228952	[201228940]
1307	chr1	EGLN1	-	231363755	231367636	[231366332, 231363760, 231364099, 231363919, 231365977]
1308	chr1	EEIG2	+	108635107	108639322	[108639158]
1309	chr1	MXRA8	-	1352688	1353629	[1352693]
1310	chr1	PRUNE1	+	151033805	151035713	[151035704]
1311	chr1	NBPF1	-	16562422	16564186	[16562664, 16562440]
1312	chr1	VAMP4	-	171700159	171704534	[171704053, 171703809, 171700183]
1313	chr1	SLC39A1	-	153959109	153960754	[153959110]
1314	chr1	ZNF593	+	26170574	26170873	[26170863]
1315	chr1	GSTM1	+	109693205	109693745	[109693735]
1316	chr1	KIAA1614	+	180945302	180951614	[180951600]
1317	chr1	ANP32E	-	150218416	150226795	[150220583, 150218424, 150220390, 150223202, 150226607]
1318	chr1	CROCC	+	16972359	16972964	[16972949, 16972845]
1319	chr1	GALNT2	+	230279302	230282122	[230282121, 230279979, 230280315]
1320	chr1	ZMYM6	-	34986164	34988935	[34988202, 34986969]
1321	chr1	ZYG11A	+	52892781	52894998	[52894569, 52894340]
1322	chr1	RAP1A	+	111709148	111716691	[111712925, 111713141, 111716680]
1323	chr1	EPB41	+	29115698	29120041	[29120040, 29119592]
1324	chr1	ELOVL1	-	43363400	43364137	[43363400, 43363500]
1325	chr1	AMIGO1	-	109504177	109508999	[109504180]
1326	chr1	MIGA1	+	77874845	77879540	[77879539, 77878397]
1327	chr1	KDM5B	-	202724494	202729173	[202728202, 202728704, 202727408, 202728381]
1328	chr1	ERO1B	-	236215100	236218576	[236215571]
1329	chr1	SLC35F3	+	234323007	234324511	[234324365, 234324497]
1330	chr1	DBT	-	100186918	100196422	[100186952, 100194381, 100194160, 100194247, 100193638]
1331	chr1	ZNF124	-	247154988	247157403	[247155001]
1332	chr1	MYSM1	-	58654742	58660155	[58654989, 58654748, 58659479, 58658412]
1333	chr1	DCLRE1B	+	113911130	113914086	[113913789, 113912440, 113913879]
1334	chr1	COA7	-	52684448	52688168	[52684458, 52687495, 52686717, 52686482]
1335	chr1	KIF14	-	200551496	200553767	[200552318, 200551501, 200551761, 200552171]
1336	chr1	DHX9	+	182887082	182887982	[182887752, 182887887]
1337	chr1	UBAP2L	+	154263102	154263505	[154263504, 154263267]
1338	chr1	UBAP2L	+	154270199	154270847	[154270756]
1339	chr1	UBAP2L	+	154270880	154271510	[154271247, 154271483]
1340	chr1	TFB2M	-	246540560	246541202	[246540572]
1341	chr1	DEGS1	+	224191091	224193441	[224193439, 224193127]
1342	chr1	SLC9A1	-	27098808	27100644	[27098819]
1343	chr1	IKBKE	+	206493919	206496889	[206496847]
1344	chr1	TMEM201	+	9602068	9604949	[9604934]
1345	chr1	TMEM201	+	9612985	9614877	[9614854, 9614743]
1346	chr1	TRMT1L	-	185118100	185120271	[185119044, 185118102, 185119923]
1347	chr1	WRAP73	-	3630769	3631117	[3630795]
